simTime,platformIndex,x,y,z,vx,vy,vz,damage
210.0,2,461773.881415972,6958996.695886292,-1246992.2914872207,-4135.115234375,-773.75244140625,-5839.90185546875,0.0
220.0,1,-415520.6857739888,-6936677.091942467,1307863.8514401347,4151.69189453125,849.98876953125,5836.63330078125,0.0
220.0,2,420391.3318370628,6950901.186528709,-1305321.4259823493,-4141.39453125,-845.3494873046875,-5825.92529296875,0.0
220.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
220.0,1,-415521.2862024483,-6936677.256742878,1307862.753142503,4151.51171875,849.9390258789062,5836.3037109375,0.0
220.0,2,420391.9263725548,6950901.347826872,-1305320.335771245,-4141.21630859375,-845.30078125,-5825.59814453125,0.0
230.0,1,-373976.6588755588,-6927818.966859147,1366152.0676414024,4157.41357421875,921.7189331054688,5821.55908203125,0.0
230.0,2,378950.15287211095,6942090.8482546145,-1363503.1649604118,-4147.138671875,-916.7991333007812,-5810.9677734375,0.0
230.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
230.0,1,-373977.2606656972,-6927819.144246553,1366150.972106816,4157.23291015625,921.6654052734375,5821.23046875,0.0
230.0,2,378950.74877837766,6942091.0219363505,-1363502.0774275807,-4146.95947265625,-916.7467651367188,-5810.6416015625,0.0
240.0,1,-332377.22824651236,-6918244.1323505305,1424286.2678196966,4162.7734375,993.3369750976562,5805.82861328125,0.0
240.0,2,337453.3318848384,6932566.592892931,-1421532.0789315382,-4152.52392578125,-988.1390380859375,-5795.35888671875,0.0
240.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
240.0,1,-332377.83134835144,-6918244.322302433,1424285.1751726444,4162.59228515625,993.2796630859375,5805.5009765625,0.0
240.0,2,337453.9291142622,6932566.778937464,-1421530.9941978727,-4152.34423828125,-988.0829467773438,-5795.033203125,0.0
250.0,1,-290726.01744065096,-6907953.747059388,1482259.8993569452,4167.7705078125,1064.8353271484375,5789.44384765625,0.0
250.0,2,295904.4572215455,6922329.555339852,-1479401.6626170613,-4157.5498046875,-1059.36181640625,-5779.10009765625,0.0
250.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
250.0,1,-290726.6218040253,-6907953.949552021,1482258.809721603,4167.5888671875,1064.7742919921875,5789.1171875,0.0
250.0,2,295905.0557262998,6922329.753725224,-1479400.580803202,-4157.3701171875,-1059.302001953125,-5778.77587890625,0.0
260.0,1,-249026.6575032882,-6896949.044863682,1540066.4278946484,4172.40380859375,1136.2066650390625,5772.40673828125,0.0
260.0,2,254307.12480633144,6911380.944529889,-1537105.428441144,-4162.2158203125,-1130.4598388671875,-5762.19384765625,0.0
260.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
260.0,1,-249027.2630778667,-6896949.25987188,1540065.3413948177,4172.22216796875,1136.141845703125,5772.08056640625,0.0
260.0,2,254307.72453842117,6911381.155232655,-1537104.3496673536,-4162.0361328125,-1130.3963623046875,-5761.8701171875,0.0
270.0,1,-207282.78666868535,-6885231.334723371,1597699.338076274,4176.67333984375,1207.4432373046875,5754.71875,0.0
270.0,2,212664.93785256514,6899722.043293239,-1594636.9072520046,-4166.521484375,-1201.426025390625,-5744.64111328125,0.0
270.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
270.0,1,-207283.3934041021,-6885231.562220626,1597698.2548354056,4176.4912109375,1207.3746337890625,5754.3935546875,0.0
270.0,2,212665.53876396388,6899722.266288847,-1594635.8316382698,-4166.3408203125,-1201.3587646484375,-5744.31884765625,0.0
280.0,1,-165498.05005658558,-6872802.000519348,1655152.1342875229,4180.57763671875,1278.5377197265625,5736.38232421875,0.0
280.0,2,170981.50657344164,6887354.208206894,-1651989.6490415423,-4170.46533203125,-1272.2528076171875,-5726.44482421875,0.0
280.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
280.0,1,-165498.6579018681,-6872802.240477782,1655151.0544286708,4180.39501953125,1278.46533203125,5736.05810546875,0.0
280.0,2,170982.10861550245,6887354.443469408,-1651988.5767074758,-4170.28466796875,-1272.181884765625,-5726.123046875,0.0
290.0,1,-123676.09936705143,-6859662.50088406,1712418.3413941844,4184.11669921875,1349.4825439453125,5717.39892578125,0.0
290.0,2,129260.44789076214,6874278.869436814,-1709157.2236625678,-4174.04736328125,-1342.932861328125,-5707.6064453125,0.0
290.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
290.0,1,-123676.70827151541,-6859662.753274471,1712417.2650400184,4183.93359375,1349.406494140625,5717.076171875,0.0
290.0,2,129261.05101513071,6874279.116939206,-1709156.1547274764,-4173.8662109375,-1342.8582763671875,-5707.28564453125,0.0
300.0,1,-81820.5925758045,-6845814.369024223,1769491.5054776731,4187.28955078125,1420.2703857421875,5697.77197265625,0.0
300.0,2,87505.38514423343,6860497.530573847,-1766133.221544252,-4177.2666015625,-1413.458984375,-5688.1279296875,0.0
300.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
300.0,1,-81821.20248846027,-6845814.633815997,1769490.4327504348,4187.1064453125,1420.1905517578125,5697.4501953125,0.0
300.0,2,87505.98930222825,6860497.790287582,-1766132.1561270272,-4177.08544921875,-1413.3807373046875,-5687.80810546875,0.0
310.0,1,-39935.19362713129,-6831259.212535164,1826365.1945679795,4190.095703125,1490.8936767578125,5677.50244140625,0.0
310.0,2,45719.947798222835,6846011.768460469,-1822911.254404986,-4180.123046875,-1483.8236083984375,-5668.01171875,0.0
310.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
310.0,1,-39935.804496819605,-6831259.489696361,1826364.1255894832,4189.912109375,1490.8101806640625,5677.181640625,0.0
310.0,2,45720.55294099802,6846012.040355915,-1822910.1926241685,-4179.94140625,-1483.7418212890625,-5667.69287109375,0.0
320.0,1,1976.4278733972242,-6815998.713207253,1883032.9993740814,4192.5341796875,1561.3450927734375,5656.59326171875,0.0
320.0,2,3907.771148345192,6830823.2330113975,-1879484.9559632791,-4182.615234375,-1554.0196533203125,-5647.259765625,0.0
